0001|22.9644|+35.1682358|And|Peg
0002|22.9562|+53.1680298|And|Lac
0003|23.4302|+53.1870041|And|Cas
0004|23.4310|+50.6870193|And|Cas
0005|23.6847|+50.6929131|And|Cas
0006|23.6851|+48.6929169|And|Cas
0007|00.2764|+48.6949348|And|Cas
0008|00.2762|+46.6949348|And|Cas
0009|00.9851|+46.6757545|And|Cas
0010|00.9859|+48.6757393|And|Cas
0011|01.2392|+48.6632690|And|Cas
0012|01.2404|+50.6632347|And|Cas
0013|01.4939|+50.6478767|And|Cas
0014|01.7979|+50.6257439|And|Per
0015|01.7954|+47.6258430|And|Per
0016|02.1748|+47.5927505|And|Per
0017|02.1783|+51.0925827|And|Per
0018|02.6590|+51.0423737|And|Per
0019|02.6453|+37.2931557|And|Per
0020|02.1247|+37.3470840|And|Tri
0021|02.1236|+35.5971375|And|Tri
0022|01.5274|+35.6453362|And|Tri
0023|01.5265|+33.6453705|And|Tri
0024|00.8295|+33.6818962|And|Psc
0025|00.8276|+24.4319324|And|Psc
0026|00.9616|+24.4266243|And|Psc
0027|00.9610|+21.6766376|And|Psc
0028|00.2493|+21.6951923|And|Psc
0029|00.2494|+22.6951923|And|Peg
0030|00.1740|+22.6957588|And|Peg
0031|00.1742|+28.6957588|And|Peg
0032|00.1071|+28.6960354|And|Peg
0033|00.1071|+32.0293655|And|Peg
0034|23.8552|+32.0285034|And|Peg
0035|23.8552|+32.7785072|And|Peg
0036|23.6033|+32.7746468|And|Peg
0037|23.6029|+35.1913109|And|Peg

0038|09.4603|-24.5425186|Ant|Hya
0039|09.4514|-37.2920151|Ant|Pyx
0040|09.4489|-40.2918739|Ant|Vel
0041|11.0971|-40.4246216|Ant|Vel
0042|11.0986|-35.6746559|Ant|Cen
0043|10.9306|-35.6664963|Ant|Hya
0044|10.9319|-31.8332005|Ant|Hya
0045|10.6801|-31.8185863|Ant|Hya
0046|10.6809|-29.8186131|Ant|Hya
0047|10.3454|-29.7947845|Ant|Hya
0048|10.3466|-27.1281624|Ant|Hya
0049|09.8440|-27.0835037|Ant|Hya
0050|09.8453|-24.5835705|Ant|Hya

0051|13.9407|-83.1200714|Aps|Cha
0052|18.4577|-82.4582748|Aps|Oct
0053|18.2797|-74.9745178|Aps|Oct
0054|18.2187|-67.4800797|Aps|Pav
0055|17.7184|-67.5711060|Aps|Pav
